round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,hidden_layers,optimizers
10,0.15446417033672333,0.9583631157875061,0.15293702483177185,0.9609524011611938,elu,22,10,0,Adam
10,0.14555422961711884,0.9611309766769409,0.15003415942192078,0.963690459728241,elu,22,10,1,Nadam
10,0.15587590634822845,0.9601190686225891,0.16617615520954132,0.9610714316368103,elu,22,10,1,Adam
10,0.15412680804729462,0.9600297808647156,0.17556124925613403,0.9594047665596008,elu,22,10,2,Nadam
10,0.16514821350574493,0.9568750262260437,0.15154866874217987,0.9629762172698975,elu,22,10,2,Adam
20,0.11419198662042618,0.9712499976158142,0.15681450068950653,0.9664285778999329,elu,22,20,0,Nadam
20,0.09656673669815063,0.9743750095367432,0.16680149734020233,0.9686904549598694,elu,22,20,0,Adam
20,0.10480774939060211,0.9720237851142883,0.1758117973804474,0.965833306312561,elu,22,20,1,Nadam
20,0.1020861491560936,0.9737797379493713,0.14950807392597198,0.9666666388511658,elu,22,20,1,Adam
20,0.10201992839574814,0.9727380871772766,0.1765047311782837,0.9648809432983398,elu,22,20,2,Nadam
20,0.10261081159114838,0.974226176738739,0.14056727290153503,0.9694047570228577,elu,22,20,2,Adam
10,0.16586920619010925,0.9561011791229248,0.1606658697128296,0.961309552192688,elu,29,10,0,Nadam
10,0.1508980542421341,0.961309552192688,0.16402971744537354,0.9614285826683044,elu,29,10,0,Adam
10,0.16551457345485687,0.955297589302063,0.1629558652639389,0.9601190686225891,elu,29,10,1,Nadam
10,0.1529393047094345,0.9598809480667114,0.1631079912185669,0.9610714316368103,elu,29,10,1,Adam
10,0.15949746966362,0.9584821462631226,0.15928207337856293,0.9595237970352173,elu,29,10,2,Nadam
10,0.16467031836509705,0.9566071629524231,0.16960377991199493,0.9629762172698975,elu,29,10,2,Adam
20,0.1033286601305008,0.9731547832489014,0.1425420343875885,0.9690476059913635,elu,29,20,0,Nadam
20,0.09427361190319061,0.9752678275108337,0.15238849818706512,0.9660714268684387,elu,29,20,0,Adam
20,0.10534623265266418,0.9738690257072449,0.14667923748493195,0.9672619104385376,elu,29,20,1,Nadam
20,0.10082139819860458,0.9745535850524902,0.15191106498241425,0.9664285778999329,elu,29,20,1,Adam
20,0.10425073653459549,0.972470223903656,0.15432295203208923,0.9680952429771423,elu,29,20,2,Nadam
20,0.10307053476572037,0.9733035564422607,0.15310709178447723,0.9677380919456482,elu,29,20,2,Adam
10,0.1450546830892563,0.9618154764175415,0.16078156232833862,0.9628571271896362,elu,36,10,0,Nadam
10,0.18172094225883484,0.9493749737739563,0.1725362092256546,0.9605952501296997,elu,36,10,0,Adam
10,0.16089411079883575,0.9578571319580078,0.16009506583213806,0.9617857336997986,elu,36,10,1,Nadam
10,0.149288609623909,0.9590773582458496,0.1666213423013687,0.9629762172698975,elu,36,10,1,Adam
10,0.16604547202587128,0.9566666483879089,0.16112995147705078,0.9633333086967468,elu,36,10,2,Nadam
10,0.15031541883945465,0.9598214030265808,0.1529790312051773,0.9632142782211304,elu,36,10,2,Adam
20,0.10029584169387817,0.9727678298950195,0.14987020194530487,0.967380940914154,elu,36,20,0,Nadam
20,0.10802557319402695,0.9704464077949524,0.1461363285779953,0.966785728931427,elu,36,20,0,Adam
20,0.10231949388980865,0.9748511910438538,0.16186557710170746,0.9678571224212646,elu,36,20,1,Nadam
20,0.10852231830358505,0.9712202548980713,0.15135037899017334,0.9665476083755493,elu,36,20,1,Adam
20,0.09662394970655441,0.974434494972229,0.1762363314628601,0.9665476083755493,elu,36,20,2,Nadam
20,0.1131085455417633,0.9702678322792053,0.16351889073848724,0.9653571248054504,elu,36,20,2,Adam
10,0.16661079227924347,0.9555059671401978,0.16365447640419006,0.9635714292526245,elu,43,10,0,Nadam
10,0.1620798110961914,0.9558631181716919,0.15302659571170807,0.9617857336997986,elu,43,10,0,Adam
10,0.14612862467765808,0.9620237946510315,0.15928331017494202,0.9622619152069092,elu,43,10,1,Nadam
10,0.17661520838737488,0.9506845474243164,0.1552044153213501,0.9595237970352173,elu,43,10,1,Adam
10,0.1654752939939499,0.9566071629524231,0.1528148055076599,0.9601190686225891,elu,43,10,2,Nadam
10,0.16242893040180206,0.9566964507102966,0.15259332954883575,0.961904764175415,elu,43,10,2,Adam
20,0.10501716285943985,0.9731249809265137,0.17567862570285797,0.9661904573440552,elu,43,20,0,Nadam
20,0.09916502237319946,0.973630964756012,0.16647110879421234,0.9654762148857117,elu,43,20,0,Adam
20,0.10112517327070236,0.9734523892402649,0.17341111600399017,0.9664285778999329,elu,43,20,1,Nadam
20,0.10406054556369781,0.9732142686843872,0.14478835463523865,0.965833306312561,elu,43,20,1,Adam
20,0.10208504647016525,0.9745237827301025,0.1747581958770752,0.9653571248054504,elu,43,20,2,Nadam
20,0.10130958259105682,0.9731547832489014,0.1554698348045349,0.9661904573440552,elu,43,20,2,Adam
