round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,f_neuron,hidden_layers,optimizers,s_neuron,t_neuron
10,0.28679144382476807,0.9186309576034546,0.19449467957019806,0.9451190233230591,relu,10,10,64,0,Adam,64,30
10,0.2995050549507141,0.915059506893158,0.1981997787952423,0.9465476274490356,relu,10,10,64,0,Adam,64,20
10,0.4059693217277527,0.8875297904014587,0.2214118242263794,0.9394047856330872,relu,10,10,64,0,Adam,64,10
