round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,f_neuron,optimizers,s_neuron,t_neuron
10,0.27963894605636597,0.9183035492897034,0.17977015674114227,0.9458333253860474,relu,10,10,64,Adam,64,30
10,0.2975675165653229,0.9154166579246521,0.19167748093605042,0.9430952668190002,relu,10,10,64,Adam,64,20
10,0.42838525772094727,0.8810119032859802,0.23577634990215302,0.9345238208770752,relu,10,10,64,Adam,64,10
10,0.7428412437438965,0.7732440233230591,0.34173232316970825,0.9315476417541504,relu,10,10,64,Adam,64,5
10,0.276020348072052,0.9208928346633911,0.18218618631362915,0.9441666603088379,relu,10,10,64,Adam,32,30
10,0.2998635470867157,0.9165475964546204,0.1877465397119522,0.9448809623718262,relu,10,10,64,Adam,32,20
10,0.42801564931869507,0.8754761815071106,0.23320381343364716,0.9346428513526917,relu,10,10,64,Adam,32,10
10,0.71918785572052,0.7733333110809326,0.3602333068847656,0.9214285612106323,relu,10,10,64,Adam,32,5
10,0.2987563908100128,0.9177976250648499,0.21255847811698914,0.9426190257072449,relu,10,10,64,Adam,16,30
10,0.30180424451828003,0.9180952310562134,0.2002817690372467,0.9458333253860474,relu,10,10,64,Adam,16,20
10,0.4099765419960022,0.8838393092155457,0.23256589472293854,0.9383333325386047,relu,10,10,64,Adam,16,10
10,0.8479100465774536,0.7219344973564148,0.4256172478199005,0.9170238375663757,relu,10,10,64,Adam,16,5
10,0.31837430596351624,0.9118750095367432,0.21767494082450867,0.9410714507102966,relu,10,10,64,Adam,8,30
10,0.3452194333076477,0.903333306312561,0.23786279559135437,0.933571457862854,relu,10,10,64,Adam,8,20
10,0.46454522013664246,0.8647321462631226,0.26247721910476685,0.9277380704879761,relu,10,10,64,Adam,8,10
10,0.7934232950210571,0.7424404621124268,0.38069435954093933,0.9186905026435852,relu,10,10,64,Adam,8,5
10,0.19781863689422607,0.9450892806053162,0.15371407568454742,0.9579761624336243,relu,10,10,128,Adam,64,30
